PlayerSeasonID,PlayerID,TeamID,Season,Salary,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct
1,1,1610612742,1996,4851000,33,83,7.2,7.9,0.8,-8.0,0.1,0.207,0.119,0.523
2,1,1610612742,1997,5095088,34,82,7.3,8.1,1.5,-7.2,0.09,0.196,0.118,0.496
3,1,1610612742,1998,5125088,35,50,4.9,4.6,0.5,-5.6,0.0969999999999999,0.179,0.148,0.441
4,1,1610612747,1999,1700000,36,82,5.0,5.9,1.0,8.1,0.089,0.179,0.111,0.482
5,1,1610612748,2000,2250000,37,82,4.5,3.8,0.5,3.3,0.089,0.171,0.141,0.492
6,2,1610612739,1999,118974,23,8,1.0,2.8,0.0,-32.6,0.158,0.208,0.146,0.19
7,3,1610612741,2000,316969,23,33,6.0,1.1,1.9,-12.4,0.018,0.053,0.1689999999999999,0.495
8,3,1610612741,2001,465850,24,45,5.4,1.0,1.8,-3.8,0.022,0.067,0.221,0.477
9,3,1610612744,2002,18748,25,2,0.0,0.0,1.0,-3.9,0.0,0.0,0.282,0.0
10,4,1610612745,2007,972720,23,51,5.2,1.1,1.7,-0.5,0.026,0.085,0.2239999999999999,0.535
11,4,1610612745,2008,1045560,24,80,11.2,2.0,3.0,4.2,0.021,0.071,0.231,0.521
12,4,1610612745,2009,1118520,25,82,19.6,2.6,5.3,-0.7,0.021,0.065,0.258,0.5489999999999999
13,4,1610612756,2010,2016692,26,59,10.7,1.3,3.9,-6.5,0.017,0.053,0.257,0.489
14,4,1610612745,2012,3250000,28,53,7.1,1.5,2.2,-10.7,0.0139999999999999,0.077,0.181,0.555
15,4,1610612743,2013,3396250,29,72,9.0,1.9,3.2,-2.5,0.031,0.069,0.205,0.518
16,4,1610612743,2013,1027424,29,72,9.0,1.9,3.2,-2.5,0.031,0.069,0.205,0.518
17,4,1610612741,2014,1145685,30,82,11.6,2.0,3.2,5.2,0.019,0.078,0.252,0.534
18,4,1610612741,2015,2000000,31,69,7.1,1.5,2.6,-1.4,0.02,0.078,0.231,0.494
19,4,1610612754,2016,2700000,32,65,5.0,1.1,1.9,-3.0,0.022,0.064,0.191,0.507
20,4,1610612750,2017,1471382,33,32,2.3,0.5,0.6,-17.2,0.036,0.057,0.192,0.508
21,5,1610612753,2014,3992040,19,47,5.2,3.6,0.7,-5.6,0.064,0.171,0.156,0.517
