PlayerID,PlayerName,birthDate,birthPlace,draft_pick,draft_round,draft_year,college,height,weight,shoots,position
1,A.C. Green,"October 4, 1963",USA,23rd overall,1st round,1985,Oregon State University,6-9,220lb,Right,Power Forward and Small Forward
2,A.J. Bramlett,"January 10, 1977",USA,39th overall,2nd round,1999,University of Arizona,6-10,227lb,Right,Center
3,A.J. Guyton,"February 12, 1978",USA,32nd overall,2nd round,2000,Indiana University,6-1,180lb,Right,Point Guard
4,Aaron Brooks,"January 14, 1985",USA,26th overall,1st round,2007,University of Oregon,6-0,161lb,Right,Point Guard
5,Aaron Gordon,"September 16, 1995",USA,4th overall,1st round,2014,University of Arizona,6-9,220lb,Right,Power Forward and Small Forward
6,Aaron Gray,"December 7, 1984",USA,49th overall,2nd round,2007,University of Pittsburgh,7-0,270lb,Right,Center
7,Aaron Harrison,"October 28, 1994",USA,,,,University of Kentucky,6-6,210lb,Right,Shooting Guard
8,Aaron Jackson,"May 6, 1986",USA,,,,Duquesne University,6-4,185lb,Right,Point Guard
9,Aaron McKie,"October 2, 1972",USA,17th overall,1st round,1994,Temple University,6-5,209lb,Right,Point Guard and Shooting Guard and Small Forward
10,Aaron Miles,"April 13, 1983",USA,,,,University of Kansas,6-1,175lb,Right,Point Guard
11,Aaron Williams,"October 2, 1971",USA,,,,Xavier University,6-9,220lb,Left,Center and Power Forward
12,Abdel Nader,"September 25, 1993",Egypt,58th overall,2nd round,2016,"Northern Illinois University, Iowa State University",6-6,225lb,Right,Small Forward
13,Acie Earl,"June 23, 1970",USA,19th overall,1st round,1993,University of Iowa,6-10,240lb,Right,Center
14,Acie Law,"January 25, 1985",USA,11th overall,1st round,2007,Texas A&M University,6-3,195lb,Right,Point Guard
15,Adam Harrington,"July 5, 1980",USA,,,,"North Carolina State University, Auburn University",6-5,200lb,Right,Shooting Guard
16,Adam Keefe,"February 22, 1970",USA,10th overall,1st round,1992,Stanford University,6-9,230lb,Right,Center and Power Forward and Small Forward
17,Adam Morrison,"July 19, 1984",USA,3rd overall,1st round,2006,Gonzaga University,6-8,205lb,Right,Small Forward and Power Forward
18,Adonal Foyle,"March 9, 1975",Saint Vincent and the Grenadines,8th overall,1st round,1997,Colgate University,6-10,250lb,Right,Center
19,Adonis Jordan,"August 21, 1970",USA,42nd overall,2nd round,1993,University of Kansas,5-11,170lb,Right,Point Guard
20,Adrian Caldwell,"July 4, 1966",USA,,,,"Southern Methodist University, Lamar University",6-8,265lb,Left,Power Forward
21,Adrian Griffin,"July 4, 1974",USA,,,,Seton Hall University,6-5,217lb,Left,Small Forward and Shooting Guard
22,Al Harrington,"February 17, 1980",USA,25th overall,1st round,1998,,6-9,230lb,Right,Power Forward and Center and Small Forward
23,Al Horford,"June 3, 1986",Dominican Republic,3rd overall,1st round,2007,University of Florida,6-10,245lb,Right,Center
24,Al Jefferson,"January 4, 1985",USA,15th overall,1st round,2004,,6-10,289lb,Right,Power Forward and Center
25,Al Thornton,"December 7, 1983",USA,14th overall,1st round,2007,Florida State University,6-8,220lb,Right,Small Forward and Power Forward
26,Al-Farouq Aminu,"September 21, 1990",USA,8th overall,1st round,2010,Wake Forest University,6-9,220lb,Right,Power Forward and Small Forward
27,Alan Anderson,"October 16, 1982",USA,,,,Michigan State University,6-6,220lb,Right,Shooting Guard and Small Forward
28,Alan Henderson,"December 2, 1972",USA,16th overall,1st round,1995,Indiana University,6-9,235lb,Right,Power Forward and Center and Small Forward
29,Alan Williams,"January 28, 1993",USA,,,,"University of California, Santa Barbara",6-8,265lb,Right,Power Forward and Center
30,Alando Tucker,"February 11, 1984",USA,29th overall,1st round,2007,University of Wisconsin,6-6,205lb,Right,Small Forward and Shooting Guard
31,Alec Burks,"July 20, 1991",USA,12th overall,1st round,2011,University of Colorado,6-6,214lb,Right,Shooting Guard
32,Aleksandar Radojevic,"August 8, 1976",Montenegro,12th overall,1st round,1999,Barton County Community College,7-3,250lb,Right,Center
33,Alex Abrines,"August 1, 1993",Spain,32nd overall,2nd round,2013,,6-6,200lb,Right,Shooting Guard
34,Alex Acker,"January 21, 1983",USA,60th overall,2nd round,2005,Pepperdine University,6-5,185lb,Right,Shooting Guard
35,Alex Garcia,"March 4, 1980",Brazil,,,,,6-3,220lb,Left,Shooting Guard
36,Alex Kirk,"November 14, 1991",USA,,,,University of New Mexico,7-0,245lb,Right,Center
37,Alex Len,"June 16, 1993",Ukraine,5th overall,1st round,2013,University of Maryland,7-1,250lb,Right,Center
38,Alex Poythress,"September 6, 1993",USA,,,,University of Kentucky,6-9,235lb,Right,Power Forward
39,Alex Scales,"July 3, 1978",USA,,,,University of Oregon,6-4,185lb,Right,Shooting Guard
40,Alex Stepheson,"August 7, 1987",USA,,,,"University of North Carolina, University of Southern California",6-10,270lb,Right,Power Forward
41,Alexander Johnson,"February 8, 1983",USA,45th overall,2nd round,2006,Florida State University,6-9,240lb,Right,Power Forward
42,Alexey Shved,"December 16, 1988",Russia,,,,,6-6,190lb,Right,Shooting Guard
43,Alexis Ajinca,"May 6, 1988",France,20th overall,1st round,2008,,7-2,248lb,Right,Power Forward and Center
44,Alfonzo McKinnie,"September 17, 1992",USA,,,,University of Wisconsin-Green Bay,6-8,215lb,Right,Small Forward
45,Allan Houston,"April 20, 1971",USA,11th overall,1st round,1993,University of Tennessee,6-6,200lb,Right,Shooting Guard
46,Allan Ray,"June 17, 1984",USA,,,,Villanova University,6-2,190lb,Right,Shooting Guard
47,Allen Crabbe,"April 9, 1992",USA,31st overall,2nd round,2013,University of California,6-6,212lb,Right,Shooting Guard
48,Allen Iverson,"June 7, 1975",USA,1st overall,1st round,1996,Georgetown University,6-0,165lb,Right,Shooting Guard and Point Guard
49,Alonzo Gee,"May 29, 1987",USA,,,,University of Alabama,6-6,225lb,Right,Small Forward and Shooting Guard
50,Alonzo Mourning,"February 8, 1970",USA,2nd overall,1st round,1992,Georgetown University,6-10,240lb,Right,Power Forward and Center
51,Alton Ford,"May 29, 1981",USA,51st overall,2nd round,2001,University of Houston,6-9,275lb,Right,Power Forward
52,Alton Lister,"October 1, 1958",USA,21st overall,1st round,1981,Arizona State University,7-0,240lb,Right,Center and Power Forward
53,Alvin Jones,"September 9, 1978",Luxembourg,57th overall,2nd round,2001,Georgia Institute of Technology,6-11,265lb,Right,Center
54,Alvin Williams,"August 6, 1974",USA,47th overall,2nd round,1997,Villanova University,6-5,185lb,Right,Shooting Guard and Point Guard
55,Amal McCaskill,"October 28, 1973",USA,49th overall,2nd round,1996,Marquette University,6-11,235lb,Right,Center
56,Amar'e Stoudemire,"November 16, 1982",USA,9th overall,1st round,2002,,6-10,245lb,Right,Center and Power Forward
57,Amir Johnson,"May 1, 1987",USA,56th overall,2nd round,2005,,6-9,240lb,Right,Center and Small Forward and Power Forward
58,Anderson Varejao,"September 28, 1982",Brazil,30th overall,2nd round,2004,,6-10,273lb,Right,Power Forward and Center
59,Andrae Patterson,"November 12, 1975",USA,46th overall,2nd round,1998,Indiana University,6-9,238lb,Right,Power Forward
60,Andray Blatche,"August 22, 1986",USA,49th overall,2nd round,2005,,6-11,235lb,Right,Center and Power Forward
61,Andre Barrett,"February 21, 1982",USA,,,,Seton Hall University,5-10,172lb,Right,Point Guard
62,Andre Brown,"May 12, 1981",USA,,,,DePaul University,6-9,245lb,Right,Power Forward
63,Andre Dawkins,"September 19, 1991",USA,,,,Duke University,6-5,215lb,Right,Shooting Guard
64,Andre Drummond,"August 10, 1993",USA,9th overall,1st round,2012,University of Connecticut,6-11,279lb,Right,Center
65,Andre Emmett,"August 27, 1982",USA,35th overall,2nd round,2004,Texas Tech University,6-5,230lb,Right,Shooting Guard and Small Forward
66,Andre Iguodala,"January 28, 1984",USA,9th overall,1st round,2004,University of Arizona,6-6,215lb,Right,Small Forward and Shooting Guard
67,Andre Ingram,"November 19, 1985",USA,,,,American University,6-3,190lb,Right,Shooting Guard
68,Andre Miller,"March 19, 1976",USA,8th overall,1st round,1999,University of Utah,6-3,200lb,Right,Point Guard and Shooting Guard
69,Andre Owens,"October 31, 1980",USA,,,,"Indiana University, University of Houston",6-4,200lb,Right,Point Guard
70,Andre Roberson,"December 4, 1991",USA,26th overall,1st round,2013,University of Colorado,6-7,210lb,Right,Shooting Guard and Small Forward
71,Andrea Bargnani,"October 26, 1985",Italy,1st overall,1st round,2006,,7-0,245lb,Right,Power Forward and Center
72,Andreas Glyniadakis,"August 21, 1981",Greece,58th overall,2nd round,2003,,7-1,280lb,Right,Center
73,Andrei Kirilenko,"February 18, 1981",Russia,24th overall,1st round,1999,,6-9,220lb,Right,Small Forward and Power Forward
74,Andres Nocioni,"November 30, 1979",Argentina,,,,,6-7,225lb,Right,Small Forward and Power Forward
75,Andrew Bogut,"November 28, 1984",Australia,1st overall,1st round,2005,University of Utah,7-0,260lb,Right,Power Forward and Center
76,Andrew Bynum,"October 27, 1987",USA,10th overall,1st round,2005,,7-0,285lb,Right,Center
77,Andrew DeClercq,"February 1, 1973",USA,34th overall,2nd round,1995,University of Florida,6-10,230lb,Right,Center
78,Andrew Gaze,"July 24, 1965",Australia,,,,Seton Hall University,6-7,205lb,Right,Shooting Guard
79,Andrew Goudelock,"December 7, 1988",USA,46th overall,2nd round,2011,College of Charleston,6-3,200lb,Right,Point Guard and Shooting Guard
80,Andrew Harrison,"October 28, 1994",USA,44th overall,2nd round,2015,University of Kentucky,6-6,213lb,Right,Point Guard
81,Andrew Lang,"June 28, 1966",USA,28th overall,2nd round,1988,University of Arkansas,6-11,245lb,Right,Center
82,Andrew Nicholson,"December 8, 1989",Canada,19th overall,1st round,2012,St. Bonaventure University,6-9,250lb,Right,Power Forward
83,Andrew Wiggins,"February 23, 1995",Canada,1st overall,1st round,2014,University of Kansas,6-8,194lb,Right,Small Forward
84,Andris Biedrins,"April 2, 1986",Latvia,11th overall,1st round,2004,,6-11,240lb,Left,Center
85,Andy Rautins,"November 2, 1986",USA,38th overall,2nd round,2010,Syracuse University,6-4,190lb,Right,Shooting Guard
86,Anfernee Hardaway,"July 18, 1971",USA,3rd overall,1st round,1993,University of Memphis,6-7,195lb,Right,Small Forward and Point Guard and Shooting Guard
87,Ansu Sesay,"July 29, 1976",USA,30th overall,2nd round,1998,University of Mississippi,6-9,225lb,Left,Small Forward
88,Antawn Jamison,"June 12, 1976",USA,4th overall,1st round,1998,University of North Carolina,6-8,223lb,Right,Power Forward and Small Forward
89,Ante Zizic,"January 4, 1997",Croatia,23rd overall,1st round,2016,,6-11,254lb,Right,Center
90,Anthony Avent,"October 18, 1969",USA,15th overall,1st round,1991,Seton Hall University,6-9,235lb,Right,Power Forward
91,Anthony Bennett,"March 14, 1993",Canada,1st overall,1st round,2013,"University of Nevada, Las Vegas",6-8,245lb,Right,Power Forward
92,Anthony Carter,"June 16, 1975",USA,,,,University of Hawaii,6-1,190lb,Right,Point Guard
93,Anthony Davis,"March 11, 1993",USA,1st overall,1st round,2012,University of Kentucky,6-10,253lb,Right,Power Forward and Center
94,Anthony Goldwire,"September 6, 1971",USA,52nd overall,2nd round,1994,University of Houston,6-1,182lb,Right,Point Guard
95,Anthony Johnson,"October 2, 1974",USA,39th overall,2nd round,1997,College of Charleston,6-3,190lb,Right,Point Guard and Shooting Guard
96,Anthony Mason,"December 14, 1966",USA,53rd overall,3rd round,1988,Tennessee State University,6-7,250lb,Left,Center and Small Forward and Power Forward
97,Anthony Miller,"October 22, 1971",USA,39th overall,2nd round,1994,Michigan State University,6-9,225lb,Right,Power Forward
98,Anthony Morrow,"September 27, 1985",USA,,,,Georgia Institute of Technology,6-5,210lb,Right,Shooting Guard
99,Anthony Parker,"June 19, 1975",USA,21st overall,1st round,1997,Bradley University,6-6,215lb,Right,Shooting Guard and Small Forward
100,Anthony Peeler,"November 25, 1969",USA,15th overall,1st round,1992,University of Missouri,6-4,208lb,Left,Shooting Guard
101,Anthony Randolph,"July 15, 1989",Germany,14th overall,1st round,2008,Louisiana State University,6-10,205lb,Left,Power Forward and Center
102,Anthony Roberson,"February 14, 1983",USA,,,,University of Florida,6-2,180lb,Right,Point Guard
103,Anthony Tolliver,"June 1, 1985",USA,,,,Creighton University,6-8,250lb,Right,Power Forward and Small Forward
104,Antoine Carr,"July 23, 1961",USA,8th overall,1st round,1983,Wichita State University,6-9,225lb,Right,Small Forward and Center and Power Forward
105,Antoine Walker,"August 12, 1976",USA,6th overall,1st round,1996,University of Kentucky,6-8,224lb,Right,Power Forward
106,Antoine Wright,"February 6, 1984",USA,15th overall,1st round,2005,Texas A&M University,6-7,210lb,Right,Shooting Guard and Small Forward
107,Antonio Burks,"February 25, 1980",USA,36th overall,2nd round,2004,University of Memphis,6-1,200lb,Right,Point Guard
108,Antonio Daniels,"March 19, 1975",USA,4th overall,1st round,1997,Bowling Green State University,6-4,195lb,Right,Shooting Guard and Point Guard
109,Antonio Davis,"October 31, 1968",USA,45th overall,2nd round,1990,University of Texas at El Paso,6-9,215lb,Right,Center and Power Forward
110,Antonio Harvey,"July 6, 1970",USA,,,,"Southern Illinois University, University of Georgia, Pfeiffer University",6-11,225lb,Right,Power Forward
111,Antonio Lang,"May 15, 1972",USA,29th overall,2nd round,1994,Duke University,6-8,205lb,Right,Power Forward and Small Forward
112,Antonio McDyess,"September 7, 1974",USA,2nd overall,1st round,1995,University of Alabama,6-9,220lb,Right,Center and Power Forward
113,Antonis Fotsis,"April 1, 1981",Greece,48th overall,2nd round,2001,,6-10,219lb,Right,Power Forward
114,Archie Goodwin,"August 17, 1994",USA,29th overall,1st round,2013,University of Kentucky,6-5,200lb,Right,Point Guard and Shooting Guard
115,Arinze Onuaku,"July 13, 1987",USA,,,,Syracuse University,6-9,255lb,Right,Center and Power Forward
116,Armen Gilliam,"May 28, 1964",USA,2nd overall,1st round,1987,"University of Nevada, Las Vegas",6-9,230lb,Right,Power Forward and Small Forward
117,Armon Johnson,"February 23, 1989",USA,34th overall,2nd round,2010,"University of Nevada, Reno",6-3,195lb,Left,Point Guard
118,Arnett Moultrie,"November 18, 1990",USA,27th overall,1st round,2012,"University of Texas at El Paso, Mississippi State University",6-11,249lb,Right,Power Forward
119,Aron Baynes,"December 9, 1986",New Zealand,,,,Washington State University,6-10,260lb,Right,Center
120,Arron Afflalo,"October 15, 1985",USA,27th overall,1st round,2007,"University of California, Los Angeles",6-5,210lb,Right,Shooting Guard and Small Forward
121,Art Long,"October 1, 1972",USA,,,,University of Cincinnati,6-9,250lb,Right,Small Forward and Power Forward
122,Arvydas Macijauskas,"January 19, 1980",Lithuania,,,,,6-4,214lb,Right,Shooting Guard
123,Arvydas Sabonis,"December 19, 1964",Lithuania,77th overall,4th round,1985,,7-3,279lb,Right,Center
124,Ashraf Amaya,"November 23, 1971",USA,,,,Southern Illinois University,6-8,230lb,Right,Power Forward
125,Austin Croshere,"May 1, 1975",USA,12th overall,1st round,1997,Providence College,6-9,235lb,Right,Power Forward
126,Austin Daye,"June 5, 1988",USA,15th overall,1st round,2009,Gonzaga University,6-11,220lb,Right,Small Forward
127,Austin Rivers,"August 1, 1992",USA,10th overall,1st round,2012,Duke University,6-4,200lb,Right,Point Guard and Shooting Guard
128,Avery Bradley,"November 26, 1990",USA,19th overall,1st round,2010,University of Texas at Austin,6-2,180lb,Right,Point Guard and Shooting Guard
129,Avery Johnson,"March 25, 1965",USA,,,,"Cameron University, Southern University and A&M College",5-10,175lb,Left,Point Guard
130,Awvee Storey,"April 18, 1977",USA,,,,"University of Illinois at Urbana-Champaign, Arizona State University",6-6,222lb,Right,Shooting Guard and Small Forward
131,Axel Toupane,"July 23, 1992",France,,,,,6-7,197lb,Right,Small Forward
132,B.J. Armstrong,"September 9, 1967",USA,18th overall,1st round,1989,University of Iowa,6-2,175lb,Right,Point Guard
133,Bam Adebayo,"July 18, 1997",USA,14th overall,1st round,2017,University of Kentucky,6-10,255lb,Right,Center
134,Baron Davis,"April 13, 1979",USA,3rd overall,1st round,1999,"University of California, Los Angeles",6-3,209lb,Right,Point Guard
135,Ben Bentil,"March 29, 1995",Ghana,51st overall,2nd round,2016,Providence College,6-9,235lb,Right,Power Forward
136,Ben Davis,"December 26, 1972",USA,43rd overall,2nd round,1996,"University of Kansas, University of Arizona",6-9,240lb,Right,Power Forward
137,Ben Gordon,"April 4, 1983",United Kingdom,3rd overall,1st round,2004,University of Connecticut,6-3,200lb,Right,Shooting Guard
138,Ben Handlogten,"November 16, 1973",USA,,,,Western Michigan University,6-10,240lb,Right,Center
139,Ben Hansbrough,"December 23, 1987",USA,,,,"Mississippi State University, University of Notre Dame",6-3,203lb,Right,Point Guard
140,Ben McLemore,"February 11, 1993",USA,7th overall,1st round,2013,University of Kansas,6-5,201lb,Right,Shooting Guard
141,Ben Simmons,"July 20, 1996",Australia,1st overall,1st round,2016,Louisiana State University,6-10,230lb,Left,Point Guard
142,Ben Uzoh,"March 19, 1988",USA,,,,University of Tulsa,6-3,205lb,Right,Point Guard
143,Ben Wallace,"September 10, 1974",USA,,,,Virginia Union University,6-9,240lb,Right,Power Forward and Center
144,Beno Udrih,"July 5, 1982",Slovenia,28th overall,1st round,2004,,6-3,205lb,Left,Shooting Guard and Point Guard
145,Benoit Benjamin,"November 22, 1964",USA,3rd overall,1st round,1985,Creighton University,7-0,250lb,Right,Center
146,Bernard James,"February 7, 1985",USA,33rd overall,2nd round,2012,Florida State University,6-10,240lb,Left,Center
147,Bernard Robinson,"December 26, 1980",District of Columbia,45th overall,2nd round,2004,University of Michigan,6-6,210lb,Left,Small Forward and Shooting Guard
148,Bill Curley,"May 29, 1972",USA,22nd overall,1st round,1994,Boston College,6-9,220lb,Right,Small Forward and Power Forward
149,Bill Wennington,"April 26, 1963",Canada,16th overall,1st round,1985,St. John's University,7-0,245lb,Right,Center
150,Billy Owens,"May 1, 1969",USA,3rd overall,1st round,1991,Syracuse University,6-8,220lb,Right,Small Forward and Power Forward and Shooting Guard
151,Billy Thomas,"December 23, 1975",USA,,,,University of Kansas,6-4,208lb,Right,Shooting Guard and Small Forward
152,Bimbo Coles,"April 22, 1968",USA,40th overall,2nd round,1990,Virginia Polytechnic Institute and State University,6-1,180lb,Right,Point Guard
153,Bismack Biyombo,"August 28, 1992",Democratic Republic of the Congo,7th overall,1st round,2011,,6-9,255lb,Right,Center
154,Bison Dele,"April 6, 1969",USA,10th overall,1st round,1991,"University of Maryland, University of Arizona",6-9,235lb,Left,Center and Power Forward
155,Blake Ahearn,"May 27, 1984",USA,,,,Missouri State University,6-2,190lb,Right,Point Guard
156,Blake Griffin,"March 16, 1989",USA,1st overall,1st round,2009,University of Oklahoma,6-10,250lb,Right,Power Forward
157,Blue Edwards,"October 31, 1965",District of Columbia,21st overall,1st round,1989,East Carolina University,6-4,200lb,Right,Small Forward and Shooting Guard
158,Bo Outlaw,"April 13, 1971",USA,,,,"South Plains College, University of Houston",6-8,210lb,Right,Power Forward and Center and Small Forward
159,Bob Sura,"March 25, 1973",USA,17th overall,1st round,1995,Florida State University,6-5,200lb,Right,Shooting Guard and Point Guard
160,Boban Marjanovic,"August 15, 1988",Serbia,,,,,7-3,290lb,Right,Center
161,Bobby Brown,"September 24, 1984",USA,,,,"California State University, Fullerton",6-2,175lb,Right,Point Guard and Shooting Guard
162,Bobby Hurley,"June 28, 1971",USA,7th overall,1st round,1993,Duke University,6-0,165lb,Right,Point Guard
163,Bobby Jackson,"March 13, 1973",USA,23rd overall,1st round,1997,University of Minnesota,6-1,185lb,Right,Shooting Guard and Point Guard
165,Bobby Phills,"December 20, 1969",USA,45th overall,2nd round,1991,Southern University and A&M College,6-5,210lb,Right,Shooting Guard
166,Bobby Portis,"February 10, 1995",USA,22nd overall,1st round,2015,University of Arkansas,6-11,250lb,Right,Power Forward
167,Bobby Simmons,"June 2, 1980",USA,42nd overall,2nd round,2001,DePaul University,6-7,210lb,Right,Shooting Guard and Power Forward and Small Forward
168,Bogdan Bogdanovic,"August 18, 1992",Serbia,27th overall,1st round,2014,,6-6,205lb,Right,Shooting Guard
169,Bojan Bogdanovic,"April 18, 1989",Bosnia and Herzegovina,31st overall,2nd round,2011,,6-8,216lb,Right,Small Forward
170,Bonzi Wells,"September 28, 1976",USA,11th overall,1st round,1998,Ball State University,6-5,210lb,Right,Small Forward and Shooting Guard
171,Boris Diaw,"April 16, 1982",France,21st overall,1st round,2003,,6-8,250lb,Right,Power Forward and Shooting Guard
172,Bostjan Nachbar,"July 3, 1980",Slovenia,15th overall,1st round,2002,,6-9,221lb,Right,Power Forward and Small Forward
173,Bracey Wright,"July 1, 1984",USA,47th overall,2nd round,2005,Indiana University,6-3,210lb,Right,Shooting Guard
174,Brad Miller,"April 12, 1976",USA,,,,Purdue University,6-11,244lb,Right,Power Forward and Center
175,Bradley Beal,"June 28, 1993",USA,3rd overall,1st round,2012,University of Florida,6-5,207lb,Right,Shooting Guard
176,Brandan Wright,"October 5, 1987",USA,8th overall,1st round,2007,University of North Carolina,6-10,210lb,Left,Center and Power Forward
177,Branden Dawson,"February 1, 1993",USA,56th overall,2nd round,2015,Michigan State University,6-6,225lb,Right,Power Forward
178,Brandon Armstrong,"June 16, 1980",USA,23rd overall,1st round,2001,Pepperdine University,6-5,188lb,Left,Shooting Guard
179,Brandon Bass,"April 30, 1985",USA,33rd overall,2nd round,2005,Louisiana State University,6-8,250lb,Right,Power Forward and Center
180,Brandon Hunter,"November 24, 1980",USA,56th overall,2nd round,2003,Ohio University,6-7,260lb,Right,Power Forward
